base_name_en,rank,condition_en,item_en,stack,percentage
Aptonoth,LR,Body Carve,Raw Meat,1,100
Aptonoth,HR,Body Carve,Raw Meat,1,100
Jagras,LR,Body Carve,Jagras Hide,1,50
Jagras,LR,Body Carve,Jagras Scale,1,30
Jagras,LR,Body Carve,Sharp Claw,1,20
Jagras,LR,Hunt (Bronze),Jagras Hide,1,40
Jagras,LR,Hunt (Bronze),Jagras Scale,1,20
Jagras,LR,Hunt (Bronze),Sharp Claw,1,20
Jagras,LR,Hunt (Bronze),Monster Bone S,2,20
Jagras,HR,Body Carve,Jagras Hide+,1,50
Jagras,HR,Body Carve,Jagras Scale+,1,30
Jagras,HR,Body Carve,Piercing Claw,1,20
Jagras,HR,Hunt (Bronze),Jagras Hide+,1,40
Jagras,HR,Hunt (Bronze),Jagras Scale,1,20
Jagras,HR,Hunt (Bronze),Piercing Claw,1,20
Jagras,HR,Hunt (Bronze),Sturdy Bone,2,20
Mernos,LR,Body Carve,Wingdrake Hide,1,70
Mernos,LR,Body Carve,Raw Meat,1,30
Mernos,LR,Hunt (Bronze),Wingdrake Hide,1,30
Mernos,LR,Hunt (Bronze),Monster Bone S,1,25
Mernos,LR,Hunt (Bronze),Warm Pelt,1,25
Mernos,LR,Hunt (Bronze),Raw Meat,2,20
Mernos,HR,Body Carve,Wingdrake Hide+,1,70
Mernos,HR,Body Carve,Raw Meat,1,30
Mernos,HR,Hunt (Bronze),Wingdrake Hide+,1,30
Mernos,HR,Hunt (Bronze),Sturdy Bone,1,25
Mernos,HR,Hunt (Bronze),High-quality Pelt,1,25
Mernos,HR,Hunt (Bronze),Raw Meat,4,20
Vespoid,LR,Body Carve,Vespoid Shell,1,42
Vespoid,LR,Body Carve,Vespoid Wing,1,35
Vespoid,LR,Body Carve,Monster Fluid,1,23
Vespoid,LR,Hunt (Bronze),Vespoid Shell,1,30
Vespoid,LR,Hunt (Bronze),Vespoid Wing,1,30
Vespoid,LR,Hunt (Bronze),Monster Fluid,1,25
Vespoid,LR,Hunt (Bronze),Honey,3,15
Vespoid,HR,Body Carve,Vespoid Carapace,1,42
Vespoid,HR,Body Carve,Vespoid Innerwing,1,35
Vespoid,HR,Body Carve,Monster Broth,1,23
Vespoid,HR,Hunt (Bronze),Vespoid Carapace,1,28
Vespoid,HR,Hunt (Bronze),Vespoid Innerwing,1,24
Vespoid,HR,Hunt (Bronze),Monster Broth,1,22
Vespoid,HR,Hunt (Bronze),Honey,6,14
Vespoid,HR,Hunt (Bronze),Monster Fluid,2,12
Mosswine,LR,Body Carve,Mosswine Hide,1,100
Mosswine,HR,Body Carve,Mosswine Hide,1,100
Apceros,LR,Body Carve,Raw Meat,1,100
Apceros,HR,Body Carve,Raw Meat,1,100
Kestodon,LR,Body Carve,Kestodon Shell,1,70
Kestodon,LR,Body Carve,Kestodon Scalp,1,30
Kestodon,LR,Hunt (Bronze),Kestodon Shell,1,44
Kestodon,LR,Hunt (Bronze),Kestodon Scalp,1,30
Kestodon,LR,Hunt (Bronze),Monster Bone S,2,26
Kestodon,HR,Body Carve,Kestodon Carapace,1,70
Kestodon,HR,Body Carve,Kestodon Scalp,1,30
Kestodon,HR,Hunt (Bronze),Kestodon Carapace,1,44
Kestodon,HR,Hunt (Bronze),Kestodon Scalp,1,30
Kestodon,HR,Hunt (Bronze),Sturdy Bone,1,26
Kestodon,MR,Hunt (Bronze),Kestodon Scalp,1,35
Kestodon,MR,Hunt (Bronze),Kestodon Husk,1,26
Kestodon,MR,Hunt (Bronze),Quality Bone,1,25
Kestodon,MR,Hunt (Bronze),Ancient Bone,2,14
Noios,LR,Body Carve,Screamer Sac,1,70
Noios,LR,Body Carve,Wingdrake Hide,1,30
Noios,LR,Hunt (Bronze),Screamer Sac,2,40
Noios,LR,Hunt (Bronze),Wingdrake Hide,1,20
Noios,LR,Hunt (Bronze),Monster Bone S,1,20
Noios,LR,Hunt (Bronze),Warm Pelt,1,20
Noios,HR,Body Carve,Screamer Sac,1,70
Noios,HR,Body Carve,Wingdrake Hide+,1,30
Noios,HR,Hunt (Bronze),Screamer Sac,2,40
Noios,HR,Hunt (Bronze),Wingdrake Hide,1,20
Noios,HR,Hunt (Bronze),Monster Bone S,1,20
Noios,HR,Hunt (Bronze),High-quality Pelt,1,20
Gajau,LR,Body Carve,Gajau Skin,1,75
Gajau,LR,Body Carve,Gajau Whisker,1,25
Gajau,LR,Hunt (Bronze),Gajau Skin,1,45
Gajau,LR,Hunt (Bronze),Iron Ore,1,25
Gajau,LR,Hunt (Bronze),Gajau Whisker,1,15
Gajau,LR,Hunt (Bronze),Machalite Ore,1,15
Gajau,HR,Body Carve,Gajau Scale,1,75
Gajau,HR,Body Carve,Grand Gajau Whisker,1,25
Gajau,HR,Hunt (Bronze),Gajau Scale,1,45
Gajau,HR,Hunt (Bronze),Machalite Ore,1,25
Gajau,HR,Hunt (Bronze),Grand Gajau Whisker,1,15
Gajau,HR,Hunt (Bronze),Dragonite Ore,1,15
Kelbi,LR,Body Carve,Warm Pelt,1,60
Kelbi,LR,Body Carve,White Liver,1,25
Kelbi,LR,Body Carve,Raw Meat,1,15
Kelbi,LR,Shiny Drop,Kelbi Horn,1,100
Kelbi,LR,Horn Carve,Kelbi Horn,1,100
Kelbi,HR,Body Carve,High-quality Pelt,1,60
Kelbi,HR,Body Carve,White Liver,1,25
Kelbi,HR,Body Carve,Raw Meat,1,15
Kelbi,HR,Shiny Drop,Kelbi Horn,1,100
Kelbi,HR,Horn Carve,Kelbi Horn,1,100
Raphinos,LR,Body Carve,Wingdrake Hide,1,70
Raphinos,LR,Body Carve,Raw Meat,1,30
Raphinos,LR,Hunt (Bronze),Wingdrake Hide,1,20
Raphinos,LR,Hunt (Bronze),Raw Meat,1,20
Raphinos,LR,Hunt (Bronze),Nulberry,3,15
Raphinos,LR,Hunt (Bronze),Monster Bone S,2,15
Raphinos,LR,Hunt (Bronze),Sturdy Bone,1,15
Raphinos,LR,Hunt (Bronze),Warped Bone,1,15
Raphinos,HR,Body Carve,Wingdrake Hide+,1,70
Raphinos,HR,Body Carve,Raw Meat,1,30
Raphinos,HR,Hunt (Bronze),Wingdrake Hide+,1,20
Raphinos,HR,Hunt (Bronze),Raw Meat,1,20
Raphinos,HR,Hunt (Bronze),Nulberry,3,15
Raphinos,HR,Hunt (Bronze),Sturdy Bone,2,15
Raphinos,HR,Hunt (Bronze),Monster Keenbone,1,15
Raphinos,HR,Hunt (Bronze),Warped Bone,1,15
Shamos,LR,Body Carve,Shamos Hide,1,50
Shamos,LR,Body Carve,Shamos Scale,1,30
Shamos,LR,Body Carve,Sharp Claw,1,20
Shamos,LR,Hunt (Bronze),Shamos Hide,1,30
Shamos,LR,Hunt (Bronze),Sharp Claw,1,24
Shamos,LR,Hunt (Bronze),Shamos Scale,1,22
Shamos,LR,Hunt (Bronze),Coral Crystal,1,12
Shamos,LR,Hunt (Bronze),Sturdy Bone,1,12
Shamos,HR,Body Carve,Shamos Hide+,1,50
Shamos,HR,Body Carve,Shamos Scale+,1,30
Shamos,HR,Body Carve,Piercing Claw,1,20
Shamos,HR,Hunt (Bronze),Shamos Hide+,1,30
Shamos,HR,Hunt (Bronze),Piercing Claw,1,24
Shamos,HR,Hunt (Bronze),Shamos Scale+,1,22
Shamos,HR,Hunt (Bronze),Monster Keenbone,1,12
Shamos,HR,Hunt (Bronze),Coral Crystal,2,12
Girros,LR,Body Carve,Girros Hide,1,50
Girros,LR,Body Carve,Girros Scale,1,30
Girros,LR,Body Carve,Girros Fang,1,20
Girros,LR,Hunt (Bronze),Girros Hide,1,30
Girros,LR,Hunt (Bronze),Girros Scale,1,20
Girros,LR,Hunt (Bronze),Girros Fang,1,20
Girros,LR,Hunt (Bronze),Sharp Claw,2,15
Girros,LR,Hunt (Bronze),Sturdy Bone,1,15
Girros,HR,Body Carve,Girros Hide+,1,50
Girros,HR,Body Carve,Girros Scale+,1,30
Girros,HR,Body Carve,Girros Fang,1,20
Girros,HR,Hunt (Bronze),Girros Hide+,1,30
Girros,HR,Hunt (Bronze),Girros Scale+,1,20
Girros,HR,Hunt (Bronze),Girros Fang,1,20
Girros,HR,Hunt (Bronze),Piercing Claw,2,15
Girros,HR,Hunt (Bronze),Quality Bone,1,15
Hornetaur,LR,Body Carve,Hornetaur Shell,1,40
Hornetaur,LR,Body Carve,Hornetaur Wing,1,32
Hornetaur,LR,Body Carve,Monster Fluid,1,20
Hornetaur,LR,Body Carve,Hornetaur Head,1,8
Hornetaur,LR,Hunt (Bronze),Hornetaur Shell,1,40
Hornetaur,LR,Hunt (Bronze),Hornetaur Wing,1,32
Hornetaur,LR,Hunt (Bronze),Monster Fluid,1,20
