base_name_en,type,item1_name,item1_qty,item2_name,item2_qty,item3_name,item3_qty,item4_name,item4_qty
Poison Charm I,Create,Pukei-Pukei Sac,1,Pukei-Pukei Tail,2,Earth Crystal,4,Aquacore Ore,1
Poison Charm II,Upgrade,Pukei-Pukei Sac+,2,Pukei-Pukei Wing,2,Dragonvein Crystal,3,Spiritcore Ore,1
Poison Charm III,Upgrade,Rathalos Ruby,1,Rathalos Wing,2,Firecell Stone,1,Dreamcore Ore,1
Attack Charm I,Create,Sturdy Bone,4,Boulder Bone,4,Lightcrystal,1,Aquacore Ore,1
Attack Charm II,Upgrade,Quality Bone,3,Dragonbone Relic,1,Novacrystal,1,Spiritcore Ore,1
Attack Charm III,Upgrade,Elder Dragon Bone,2,High Commendation,1,Brutal Bone,2,Dreamcore Ore,1
Attack Charm IV,Upgrade,Annihilating Greathorn,3,Diablos Hardhorn,1,Large Elder Dragon Gem,1,Phantomcore Ore,1
Defense Charm I,Create,Dragonite Ore,4,Machalite Ore,4,Lightcrystal,1,Aquacore Ore,1
Defense Charm II,Upgrade,Carbalite Ore,6,Dragonite Ore,8,Novacrystal,1,Spiritcore Ore,1
Defense Charm III,Upgrade,Fucium Ore,6,Carbalite Ore,8,Firecell Stone,1,Dreamcore Ore,1
Defense Charm IV,Upgrade,Fey Wyvern Gem,1,Frozen Bone,4,Purecrystal,1,Dragoncore Ore,1
Defense Charm V,Upgrade,Shara Ishvalda Tenderplate,1,Shara Ishvalda Boulderplate,4,Large Elder Dragon Gem,1,Phantomcore Ore,1
Paralysis Charm I,Create,Great Girros Hood,1,Great Girros Fang,2,Warped Bone,6,Aquacore Ore,1
Paralysis Charm II,Upgrade,Great Girros Hood+,2,Omniplegia Sac,4,Dragonvein Crystal,3,Spiritcore Ore,1
Paralysis Charm III,Upgrade,Teostra Gem,1,Teostra Horn+,2,Firecell Stone,1,Dreamcore Ore,1
Sleep Charm I,Create,Radobaan Marrow,1,Radobaan Oilshell,2,Coral Crystal,3,Aquacore Ore,1
Sleep Charm II,Upgrade,Radobaan Medulla,1,Radobaan Oilshell,3,Dragonvein Crystal,3,Spiritcore Ore,1
Sleep Charm III,Upgrade,Uragaan Ruby,1,Uragaan Jaw,2,Firecell Stone,1,Dreamcore Ore,1
Stun Charm I,Create,Tzitzi-Ya-Ku Photophore,1,Tzitzi-Ya-Ku Claw,2,Coral Crystal,4,Aquacore Ore,1
Stun Charm II,Upgrade,Tzitzi-Ya-Ku Photophore+,2,Tzitzi-Ya-Ku Claw+,2,Novacrystal,1,Spiritcore Ore,1
Stun Charm III,Upgrade,Black Spiral Horn+,3,Black Diablos Ridge+,2,Brutal Bone,2,Dreamcore Ore,1
Windproof Charm I,Create,Paolumu Webbing,3,Paolumu Shell,5,Coral Crystal,3,Aquacore Ore,1
Windproof Charm II,Upgrade,Paolumu Wing,3,Wyvern Gem,2,Dragonvein Crystal,1,Spiritcore Ore,1
Windproof Charm III,Upgrade,Azure Rathalos Wing,3,Rathalos Ruby,1,Novacrystal,1,Dreamcore Ore,1
Windproof Charm IV,Upgrade,Stormcall Steelwing,3,Tigrex Mantle,1,Elder Dragonvein Bone,4,Phantomcore Ore,1
Health Charm I,Create,Rathian Plate,1,Rathian Webbing,3,Earth Crystal,3,Aquacore Ore,1
Health Charm II,Upgrade,Rathian Ruby,1,Rathian Spike,2,Dragonvein Crystal,3,Spiritcore Ore,1
