name_en,description_en,name_ja,description_ja,name_fr,description_fr,name_it,description_it,name_de,description_de,name_es,description_es,name_pt,description_pt,name_pl,description_pl,name_ru,description_ru,name_ko,description_ko,name_zh,description_zh,name_ar,description_ar
Potion,Restores a small amount of health.,回復薬,体力を少量回復する薬。,Potion,Restaure une petite quantité de vie.,Pozione,Ripristina una modesta quantità di salute.,Trank,Stellt einen kleinen Teil der Gesundheit wieder her.,Poción,Restablece ligeramente el nivel de salud.,Poção,Recupera uma pequena quantidade de vida.,Mikstura,Przywraca niewielką ilość zdrowia.,Зелье,Восстанавливает немного здоровья.,회복약,체력을 약간 회복하는 약.,回復藥,可回復少量體力的藥。,الجرعة,تستعيد كمية صغيرة من الصحة.
Mega Potion,Restores a moderate amount of health.,回復薬グレート,体力を中量回復する薬。,Méga potion,Restaure une quantité modérée de vie.,Mega pozione,Ripristina una notevole quantità di salute.,Mega-Trank,Stellt einen großen Teil der Gesundheit wieder her.,Megapoción,Restablece moderadamente el nivel de salud.,Megapoção,Recupera uma quantidade razoável de vida.,Megamikstura,Przywraca średnią ilość zdrowia.,Мегазелье,Восстанавливает среднее количество здоровья.,그레이트 회복약,체력을 적당히 회복하는 약.,回復藥‧大,可回復中量體力的藥。,جرعة عملاقة,تستعيد كمية متوسطة من الصحة.
Max Potion,Fully restores health and maximizes the size of your Health Gauge.,秘薬,体力の上限が最大まで上昇し、 完全回復する薬。,Potion secrète,Restaure toute la vie et maximise la taille de la jauge de vie.,Pillola della salute,"Aumenta le dimensioni della barra salute, curandoti completamente.",Maxi-Trank,Stellt Gesundheit vollständig wieder her und maximiert den Gesundheitsbalken.,Poción máxima,Aumenta el indicador de salud al máximo y recupera toda tu salud.,Poção Máxima,Recupera a vida inteira e maximiza o tamanho da Barra de Vida.,Maksmikstura,W pełni przywraca zdrowie i zwiększa do maksimum długość paska zdrowia.,Максимальное зелье,"Полностью восстанавливает здоровье, повышает максимум здоровья.",비약,체력 상한이 최대까지 상승하고 완전히 회복하는 약.,秘藥,提升體力上限到最大， 並完全回復的藥。,الجرعة القصوى,تستعيد كامل الصحة وتزيد من حجم مقياس الصحة.
Ancient Potion,Fully restores health and maximizes the size of your Health and Stamina Gauges.,いにしえの秘薬,体力とスタミナの上限が最大まで 上昇し、完全回復する薬。,Potion ancestrale,Restaure toute la vie et maximise la taille des jauges de vie et d'endurance.,Pillola antica,Ripristina la salute e aumenta le dimensioni della barra salute e della resistenza.,Uralter Trank,Stellt Gesundheit sowie Ausdauer wieder her und maximiert deren Balken.,Poción antigua,"Restablece la salud al máximo, y además aumenta los indicadores de salud y resistencia.",Poção Ancestral,Recupera a vida inteira e maximiza o tamanho das Barras de Vida e Vigor.,Pradawna mikstura,W pełni przywraca zdrowie i zwiększa do maksimum długość pasków zdrowia i wytrzymałości.,Древнее зелье,"Полностью восстанавливает здоровье, максимально увеличивая шкалу здоровья и выносливости.",고대의 비약,체력과 스태미나 상한이 최대까지 상승하고 완전 회복하는 약.,古老的秘藥,提升體力與耐力上限到最大， 並完全回復的藥。,الجرعة القديمة,تستعيد كامل الصحة وتزيد من حجم مقياس الصحة والتحمل.
Antidote,A cure for poison.,解毒薬,毒状態を 回復する薬。,Antidote,Un remède contre le poison.,Antidoto,Cura l'avvelenamento.,Gegengift,Der Name sagt alles: Dieses Objekt ist ein Gegengift.,Antídoto,Cura para el veneno.,Antídoto,Cura veneno.,Antidotum,Odtrutka na truciznę.,Противоядие,Средство от отравлений,해독약,독 상태를 회복하는 약.,解毒藥,可回復毒狀態的藥。,ترياق,علاج للسم.
Herbal Medicine,Removes all traces of poison and restores a slight amount of health.,漢方薬,毒状態を 回復し、同時に体力を 微量回復する薬。,Remède d'herbe,Guérit les effets du poison et restaure un peu de vie.,Rimedio erboristico,Cura l'avvelenamento e ripristina una piccola porzione di salute.,Kräutermedizin,Entfernt alle Giftstoffe und stellt Gesundheit geringfügig wieder her.,Medicina herbal,Cura de forma eficaz el veneno y restablece ligeramente la salud.,Ervas Medicinais,Remove todo o veneno e recupera uma pequena porção de vida.,Lek ziołowy,Usuwa z organizmu wszystkie ślady trucizny i przywraca niewielką ilość zdrowia.,Травяное лекарство,Удаляет все следы яда и восстанавливает немного здоровья.,한방약,독 상태를 회복하며 동시에 체력을 미량 회복하는 약.,漢方藥,可回復毒狀態，並同時 微量回復體力的藥。,دواء عشبي,يزيل كل آثار السم ويستعيد كمية طفيفة من الصحة.
Nulberry,A mysterious berry that cures various blights.,ウチケシの実,様々な属性やられを治す実。,Baie-soin,Une baie mystérieuse qui guérit divers fléaux.,Nulbacca,Misteriosa bacca che cura alcuni tipi di malus.,Nullbeere,"Eine geheimnisvolle Beere, die verschiedene Pestarten heilt.",Curibaya,Baya misteriosa que cura varias plagas.,Nulafruta,Uma fruta misteriosa que cura vários flagelos.,Oczystka,"Tajemnicza jagoda, która leczy różne plagi.",Пустоягода,"Таинственная ягода, вызывающая разного рода порчи.",지움열매,다양한 속성 피해를 치료하는 열매.,打消果實,治癒各種屬性異常狀態的果實。,نولبيري,توت غامض يعالج أوبئة متعددة.
Energy Drink,"A Guild-approved beverage that boosts your stamina. Helps shake off sleep, too!",元気ドリンコ,スタミナを回復する ドリンク。 眠気もスッキリ！,Boisson énergétique,Ce breuvage certifié par la Guilde restaure votre endurance. Idéal pour vous réveiller !,Bevanda energetica,Bevanda approvata dalla Gilda che aumenta la resistenza. Aiuta inoltre a svegliarsi dal sonno!,Energy-Drink,"Ein von der Gilde geprüftes Getränk, das die Ausdauer stärkt. Es hilft außerdem gegen Müdigkeit!",Bebida energética,Bebida aprobada por el gremio que aumenta tu resistencia. ¡También ayuda a quitar el sueño!,Energético,Uma bebida aprovada pela Guilda que aumenta seu vigor e ajuda a não dormir!,Napój energetyczny,Zatwierdzony przez Gildię napój zwiększający wytrzymałość. Pomaga też nie zasnąć!,Тоник,"Одобренный гильдией напиток, повышающий выносливость. Со сном бороться тоже помогает!",에너지드링크,스태미나를 회복하는 드링크. 졸음에도 효과적!,元氣飲料,可回復耐力的飲料。 睡意也會不翼而飛！,مشروب الطاقة,شراب مصدَّق من النقابة يعزز من قوة تحمّلك. ويساعد أيضًا على الاستيقاظ!
Ration,Food that restores a bit of stamina.,携帯食料,スタミナを少量回復する食料。,Ration,Nourriture qui restaure une petite quantité d'endurance.,Razione,Cibo che aumenta di poco la barra della resistenza.,Ration,"Essen, das etwas Ausdauer wiederherstellt.",Ración,Comida que restablece algo de resistencia.,Ração,Recupera um pouco de vigor.,Prowiant,Żywność przywracająca nieco wytrzymałości.,Паек,"Еда, которая немного восстанавливает выносливость.",휴대 식량,스태미나를 약간 회복하는 식재료.,隨身食物,可少量回復耐力的食物。,مؤونة,طعام يستعيد جزءًا من قوة التحمّل.
Rare Steak,Provides a moderate boost to your stamina. This one's still red in the middle.,生焼け肉,スタミナを中量回復する食料。,Steak saignant,"Encore rouge au milieu, cette viande augmente modérément votre endurance.",Bistecca al sangue,Carne cotta al sangue. Aumenta moderatamente la barra della resistenza.,Blutiges Steak,Ermöglicht eine mittlere Steigerung der Ausdauer. Das Fleisch ist noch rot in der Mitte.,Filete poco hecho,Aumenta moderadamente la resistencia. La carne está aún muy roja por dentro.,Bife Malpassado,Esse bife ainda está vermelho no meio. Aumenta moderadamente o vigor.,Krwisty stek,W średnim stopniu zwiększa wytrzymałość. Ten jest wciąż krwisty w środku.,Полусырой стейк,Ощутимо повышает выносливость. Внутри еще красный.,설익은 고기,스태미나를 적당히 회복하는 식재료.,半熟肉,可中量回復耐力的食物。,شريحة لحم مطهية قليلًا,تعزز بشكل بسيط من قوة تحمّلك. لا تزال غير مطهوة من المنتصف.
