name_en,name_ja,name_fr,name_it,name_de,name_es,name_pt,name_pl,name_ru,name_ko,name_zh,name_ar
Leather Headgear,レザーヘッド,Lunettes en cuir,Copricapo di cuoio,Leder-Kopfschutz,Lentes de cuero,Elmo de Couro,Skórzany kaptur,Кожаный шлем,레더헤드,皮製頭飾,عتاد رأس جلدي
Leather Mail,レザーベスト,Cotte en cuir,Maglia di cuoio,Leder-Panzerung,Cota de cuero,Armadura de Couro,Skórzana zbroja,Кожаный доспех,레더베스트,皮製服飾,درع جلدي
Leather Gloves,レザーグラブ,Gants en cuir,Guanti di cuoio,Leder-Handschuhe,Guantes de cuero,Luvas de Couro,Skórzane rękawice,Кожаные наручи,레더글러브,皮製手套,قفازات جلدية
Leather Belt,レザーベルト,Ceinture en cuir,Cintura di cuoio,Leder-Gürtel,Muslera de cuero,Cinto de Couro,Skórzany pas,Кожаный пояс,레더벨트,皮製皮帶,حزام جلدي
Leather Trousers,レザーパンツ,Pantalon en cuir,Pantaloni di cuoio,Leder-Hose,Pantalones de cuero,Calças de Couro,Skórzane spodnie,Кожаные поножи,레더팬츠,皮製長褲,سروال جلدي
Chainmail Headgear,チェーンヘッド,Heaume de mailles,Copricapo di maglia,Ketten-Kopfschutz,Cubrecabeza de malla,Elmo de Cota de Malha,Hełm kolczy,Кольчужный шлем,체인헤드,鎖甲頭飾,خوذة حلقية فولاذية
Chainmail Vest,チェーンベスト,Veste de mailles,Pettorina di maglia,Ketten-Weste,Cota de malla,Col. de Cota de Malha,Kolczuga,Кольчужный доспех,체인베스트,鎖甲服飾,صديري حلقي فولاذي
Chainmail Gloves,チェーングラブ,Gants de mailles,Guanti di maglia,Ketten-Handschuhe,Guantes de malla,Luvas de Cota de Malha,Rękawice kolcze,Кольчужные наручи,체인글러브,鎖甲手套,قفازات حلقية فولاذية
Chainmail Belt,チェーンベルト,Ceinture de mailles,Cintura di maglia,Ketten-Gürtel,Muslera de malla,Cinto de Cota de Malha,Pas kolczy,Кольчужный пояс,체인벨트,鎖甲皮帶,حزام حلقي فولاذي
Chainmail Trousers,チェーンパンツ,Pantalon de mailles,Pantaloni di maglia,Ketten-Hose,Pantalones de malla,Calças de Cota de Malha,Spodnie kolcze,Кольчужные поножи,체인팬츠,鎖甲長褲,سروال حلقي فولاذي
Hunter's Headgear,ハンターヘルム,Coiffe de chasseur,Elmo del cacciatore,Jäger-Kopfschutz,Casco de cazador,Elmo do Caçador,Nakrycie głowy łowcy,Охотничий шлем,헌터헬름,獵人頭盔,عتاد رأس الصيّاد
Hunter's Mail,ハンターメイル,Cotte de chasseur,Cotta del cacciatore,Jäger-Panzerung,Cota de cazador,Armadura do Caçador,Zbroja łowcy,Охотничий доспех,헌터메일,獵人鎧甲,درع الصياد
Hunter's Vambraces,ハンターアーム,Avant-bras de chasseur,Parabraccia del cacciatore,Jäger-Armschienen,Brazales de cazador,Avambraços do Caçador,Zarękawia łowcy,Охотничьи наручи,헌터암,獵人腕甲,درع ساعد الصياد
Hunter's Coil,ハンターコイル,Boucle de chasseur,Spira del cacciatore,Jäger-Hüftring,Faja de cazador,Cinturão do Caçador,Pas łowcy,Охотничий пояс,헌터코일,獵人腰甲,لفيفة الصياد
Hunter's Greaves,ハンターグリーヴ,Grèves de chasseur,Schinieri del cacciatore,Jäger-Beinschienen,Grebas de cazador,Grevas de Caçador,Nagolenice łowcy,Охотничьи поножи,헌터그리브,獵人護腿,درع ساق الصياد
Bone Helm,ボーンヘルム,Casque d'os,Elmo d'osso,Knochen-Helm,Yelmo de hueso,Elmo Ósseo,Kościany hełm,Костяной шлем,본헬름,骨製頭盔,خوذة عظمية
Bone Mail,ボーンメイル,Veste d'os,Cotta d'osso,Knochen-Panzerung,Cota de hueso,Armadura Óssea,Kościana zbroja,Костяной доспех,본메일,骨製鎧甲,درع عظمي
Bone Vambraces,ボーンアーム,Avant-bras d'os,Parabraccia d'osso,Knochen-Armschienen,Brazales de hueso,Avambraços Ósseos,Kościane zarękawia,Костяные наручи,본암,骨製腕甲,درع ساعد عظمي
Bone Coil,ボーンコイル,Tassette d'os,Spira d'osso,Knochen-Hüftring,Faja de hueso,Cinturão Ósseo,Kościany pas,Костяной пояс,본코일,骨製腰甲,لفيفة عظمية
Bone Greaves,ボーングリーヴ,Jambières d'os,Schinieri d'osso,Knochen-Beinschienen,Grebas de hueso,Grevas Ósseas,Kościane nagolenice,Костяные поножи,본그리브,骨製護腿,درع ساق عظمي
Vespoid Helm,ランゴヘルム,Calot Vespoid,Elmo di Vespoid,Vespoid-Helm,Yelmo de Vespoid,Elmo de Vespoidea,Hełm z Vespoida,Осиный шлем,랑고헬름,巨蜂頭盔,خوذة فيسبويد
Vespoid Mail,ランゴメイル,Cotte Vespoid,Cotta di Vespoid,Vespoid-Panzerung,Cota de Vespoid,Armadura de Vespoidea,Zbroja z Vespoida,Осиный доспех,랑고메일,巨蜂鎧甲,درع فيسبويد
