base_id,monster_en,quantity,is_objective
101,Jagras,7,True
102,Kestodon,8,True
102,Great Jagras,1,False
103,Great Jagras,1,True
201,Kulu-Ya-Ku,1,True
201,Rathalos,1,False
205,Pukei-Pukei,1,True
205,Great Jagras,1,False
205,Anjanath,1,False
205,Rathalos,1,False
301,Barroth,1,True
301,Rathian,1,False
301,Diablos,1,False
302,Jyuratodus,1,True
302,Rathian,1,False
302,Barroth,1,False
305,Tobi-Kadachi,1,True
305,Great Jagras,1,False
305,Anjanath,1,False
306,Anjanath,1,True
306,Great Jagras,1,False
306,Rathalos,1,False
401,Zorah Magdaros,1,True
401,Nergigante,1,False
405,Paolumu,1,True
405,Tzitzi-Ya-Ku,1,False
405,Legiana,1,False
407,Radobaan,1,True
407,Great Girros,1,False
408,Legiana,1,True
408,Tzitzi-Ya-Ku,1,False
408,Paolumu,1,False
501,Odogaron,1,True
501,Great Girros,1,False
501,Radobaan,1,False
502,Rathalos,1,True
502,Anjanath,1,False
502,Tobi-Kadachi,1,False
503,Diablos,1,True
503,Rathian,1,False
503,Barroth,1,False
504,Zorah Magdaros,1,True
504,Nergigante,1,False
601,Pukei-Pukei,1,True
601,Rathian,1,False
601,Barroth,1,False
601,Bazelgeuse,1,False
605,Anjanath,1,True
605,Barroth,1,False
605,Diablos,1,False
605,Bazelgeuse,1,False
607,Pink Rathian,1,True
607,Tzitzi-Ya-Ku,1,False
607,Legiana,1,False
607,Odogaron,1,False
701,Nergigante,1,True
801,Kushala Daora,1,True
802,Teostra,1,True
803,Vaal Hazak,1,True
804,Xeno'jiiva,1,True
805,Bazelgeuse,2,True
806,Kirin,1,True
241,Great Jagras,1,True
151,Kestodon,12,True
152,Jagras,7,True
153,Great Jagras,1,False
153,Pukei-Pukei,1,False
153,Anjanath,1,False
153,Rathalos,1,False
251,Great Jagras,1,True
251,Pukei-Pukei,1,False
252,Kulu-Ya-Ku,1,True
252,Rathalos,1,False
261,Kulu-Ya-Ku,1,True
261,Rathian,1,False
261,Barroth,1,False
262,Gajau,7,True
263,Vespoid,14,True
351,Pukei-Pukei,1,True
351,Great Jagras,1,False
351,Anjanath,1,False
351,Rathalos,1,False
352,Tobi-Kadachi,1,True
352,Great Jagras,1,False
352,Anjanath,1,False
352,Rathalos,1,False
361,Barroth,1,True
361,Rathian,1,False
361,Jyuratodus,1,False
361,Diablos,1,False
362,Jyuratodus,1,True
362,Rathian,1,False
362,Barroth,1,False
363,Kulu-Ya-Ku,1,False
363,Rathian,1,False
363,Barroth,1,False
363,Diablos,1,False
364,Kulu-Ya-Ku,1,False
364,Rathian,1,False
365,Barroth,1,True
365,Rathian,1,False
365,Jyuratodus,1,False
365,Diablos,1,False
331,Pukei-Pukei,1,True
332,Barroth,1,True
333,Tobi-Kadachi,1,True
451,Anjanath,1,True
451,Great Jagras,1,False
451,Tobi-Kadachi,1,False
451,Rathalos,1,False
452,Rathian,1,False
461,Rathian,1,True
461,Barroth,1,False
461,Jyuratodus,1,False
461,Diablos,1,False
471,Shamos,11,True
472,Tzitzi-Ya-Ku,1,True
472,Paolumu,1,False
472,Legiana,1,False
472,Odogaron,1,False
473,Paolumu,1,True
473,Tzitzi-Ya-Ku,1,False
473,Legiana,1,False
473,Odogaron,1,False
474,Tzitzi-Ya-Ku,1,False
475,Paolumu,1,True
475,Tzitzi-Ya-Ku,1,False
475,Legiana,1,False
475,Odogaron,1,False
481,Hornetaur,14,True
482,Great Girros,1,True
482,Radobaan,1,False
482,Odogaron,1,False
483,Radobaan,1,True
483,Great Girros,1,False
483,Odogaron,1,False
484,Raphinos,5,True
5003,Tzitzi-Ya-Ku,2,True
431,Anjanath,1,True
432,Rathian,1,True
433,Paolumu,1,True
434,Radobaan,1,True
551,Rathalos,1,True
551,Tobi-Kadachi,1,False
551,Anjanath,1,False
551,Rathian,1,False
552,Rathalos,1,True
552,Rathian,1,True
552,Anjanath,1,False
561,Diablos,1,True
561,Rathian,1,False
561,Barroth,1,False
571,Legiana,1,True
571,Tzitzi-Ya-Ku,1,False
571,Paolumu,1,False
571,Odogaron,1,False
572,Kirin,1,True
581,Odogaron,1,True
581,Great Girros,1,False
581,Radobaan,1,False
582,Odogaron,1,True
582,Great Girros,1,False
582,Radobaan,1,False
531,Legiana,1,True
532,Odogaron,1,True
533,Rathalos,1,True
534,Diablos,1,True
641,Zorah Magdaros,1,True
641,Nergigante,1,False
651,Great Jagras,1,True
651,Pukei-Pukei,1,False
651,Anjanath,1,False
651,Rathalos,1,False
651,Bazelgeuse,1,False
651,Deviljho,1,False
652,Pukei-Pukei,1,True
652,Great Jagras,1,False
652,Anjanath,1,False
652,Rathalos,1,False
652,Bazelgeuse,1,False
652,Deviljho,1,False
653,Tobi-Kadachi,1,True
653,Anjanath,1,False
653,Rathian,1,False
653,Rathalos,1,False
653,Bazelgeuse,1,False
653,Deviljho,1,False
654,Anjanath,1,True
654,Great Jagras,1,False
654,Tobi-Kadachi,1,False
654,Rathalos,1,False
654,Bazelgeuse,1,False
654,Deviljho,1,False
655,Rathian,1,True
655,Tobi-Kadachi,1,False
655,Anjanath,1,False
655,Rathalos,1,False
655,Bazelgeuse,1,False
655,Deviljho,1,False
656,Tobi-Kadachi,1,True
656,Pukei-Pukei,1,False
656,Rathian,1,False
656,Bazelgeuse,1,False
656,Deviljho,1,False
661,Kulu-Ya-Ku,1,True
661,Rathian,1,False
661,Barroth,1,False
661,Diablos,1,False
661,Bazelgeuse,1,False
661,Deviljho,1,False
662,Barroth,1,True
662,Rathian,1,False
662,Jyuratodus,1,False
662,Diablos,1,False
662,Bazelgeuse,1,False
662,Deviljho,1,False
663,Pukei-Pukei,1,True
663,Rathian,1,False
663,Barroth,1,False
663,Diablos,1,False
663,Bazelgeuse,1,False
663,Deviljho,1,False
665,Jyuratodus,1,True
665,Kulu-Ya-Ku,1,False
665,Rathian,1,False
665,Barroth,1,False
665,Bazelgeuse,1,False
665,Deviljho,1,False
666,Rathian,1,True
666,Kulu-Ya-Ku,1,False
666,Barroth,1,False
666,Diablos,1,False
666,Bazelgeuse,1,False
666,Deviljho,1,False
667,Anjanath,1,True
667,Rathian,1,False
667,Barroth,1,False
667,Diablos,1,False
667,Bazelgeuse,1,False
667,Deviljho,1,False
671,Tzitzi-Ya-Ku,1,True
671,Paolumu,1,False
671,Legiana,1,False
671,Odogaron,1,False
671,Deviljho,1,False
672,Paolumu,1,True
672,Tzitzi-Ya-Ku,1,False
672,Legiana,1,False
672,Odogaron,1,False
672,Deviljho,1,False
681,Great Girros,1,True
681,Radobaan,1,False
681,Odogaron,1,False
681,Bazelgeuse,1,False
681,Deviljho,1,False
682,Radobaan,1,True
682,Great Girros,1,False
682,Odogaron,1,False
682,Bazelgeuse,1,False
682,Deviljho,1,False
683,Great Girros,1,False
683,Radobaan,1,False
683,Odogaron,1,False
683,Bazelgeuse,1,False
683,Deviljho,1,False
684,Girros,10,True
684,Great Girros,1,False
684,Odogaron,1,False
684,Bazelgeuse,1,False
684,Deviljho,1,False
691,Gastodon,13,True
691,Bazelgeuse,1,False
691,Deviljho,1,False
692,Barnos,5,True
692,Bazelgeuse,1,False
692,Deviljho,1,False
693,Dodogama,1,True
693,Uragaan,1,False
693,Lavasioth,1,False
693,Bazelgeuse,1,False
693,Deviljho,1,False
694,Gajalaka,10,True
694,Bazelgeuse,1,False
694,Deviljho,1,False
631,Pukei-Pukei,1,True
632,Barroth,1,True
633,Tobi-Kadachi,1,True
634,Anjanath,1,True
635,Rathian,1,True
636,Paolumu,1,True
637,Radobaan,1,True
751,Rathalos,1,True
751,Tobi-Kadachi,1,False
751,Rathian,1,False
751,Anjanath,1,False
751,Bazelgeuse,1,False
751,Deviljho,1,False
752,Azure Rathalos,1,True
752,Rathian,1,False
752,Anjanath,1,False
752,Rathalos,1,False
752,Bazelgeuse,1,False
752,Deviljho,1,False
753,Rathalos,1,True
753,Azure Rathalos,1,True
753,Rathian,1,False
753,Bazelgeuse,1,False
753,Deviljho,1,False
761,Pink Rathian,1,True
761,Rathian,1,False
761,Diablos,1,False
761,Black Diablos,1,False
761,Bazelgeuse,1,False
761,Deviljho,1,False
762,Diablos,1,True
762,Rathian,1,False
762,Barroth,1,False
762,Bazelgeuse,1,False
762,Deviljho,1,False
763,Black Diablos,1,True
763,Rathian,1,False
763,Barroth,1,False
763,Diablos,1,False
763,Bazelgeuse,1,False
763,Deviljho,1,False
764,Diablos,1,True
764,Black Diablos,1,True
764,Rathian,1,False
764,Barroth,1,False
764,Bazelgeuse,1,False
764,Deviljho,1,False
771,Pink Rathian,1,True
771,Tzitzi-Ya-Ku,1,False
771,Paolumu,1,False
771,Legiana,1,False
771,Odogaron,1,False
771,Deviljho,1,False
772,Legiana,1,True
772,Tzitzi-Ya-Ku,1,False
772,Paolumu,1,False
772,Bazelgeuse,1,False
772,Deviljho,1,False
773,Odogaron,1,True
773,Tzitzi-Ya-Ku,1,False
773,Pink Rathian,1,False
773,Legiana,1,False
773,Bazelgeuse,1,False
773,Deviljho,1,False
774,Legiana,1,True
774,Odogaron,1,True
774,Tzitzi-Ya-Ku,1,False
774,Deviljho,1,False
781,Odogaron,1,True
781,Great Girros,1,False
781,Radobaan,1,False
781,Bazelgeuse,1,False
781,Deviljho,1,False
791,Lavasioth,1,True
791,Dodogama,1,False
791,Uragaan,1,False
791,Azure Rathalos,1,False
791,Bazelgeuse,1,False
791,Deviljho,1,False
792,Uragaan,1,True
792,Dodogama,1,False
792,Lavasioth,1,False
792,Azure Rathalos,1,False
792,Bazelgeuse,1,False
792,Deviljho,1,False
793,Azure Rathalos,1,True
793,Dodogama,1,False
793,Uragaan,1,False
793,Lavasioth,1,False
793,Bazelgeuse,1,False
793,Deviljho,1,False
794,Bazelgeuse,1,True
794,Dodogama,1,False
794,Uragaan,1,False
794,Azure Rathalos,1,False
794,Deviljho,1,False
795,Lavasioth,1,True
795,Uragaan,1,True
795,Dodogama,1,False
795,Bazelgeuse,1,False
